characteristic_id,balloon,drawing_no,part_number,role,type,definition_source,definition_status,acceptance_released,inspection_method
K01-D006-C01,C01,K01-D-006,K01-P-007,J2 face / datum A flatness,GD&T,MBD_REQUIRED,MBD_AUTHORING_REQUIRED,False,OPEN
K01-D006-C02,C02,K01-D-006,K01-P-007,Locator / datum B,SIZE_FIT_DATUM,MBD_REQUIRED,MBD_AUTHORING_REQUIRED,False,OPEN
K01-D006-C03,C03,K01-D-006,K01-P-007,Locator axis perpendicularity to A,GD&T,MBD_REQUIRED,MBD_AUTHORING_REQUIRED,False,OPEN
K01-D006-C04,C04,K01-D-006,K01-P-007,J2 clamp clearance pattern,PATTERN_GD&T,MBD_REQUIRED,MBD_AUTHORING_REQUIRED,False,OPEN
K01-D006-C05,C05,K01-D-006,K01-P-007,Flange size,SIZE_TOLERANCE,MBD_REQUIRED,MBD_AUTHORING_REQUIRED,False,OPEN
K01-D006-C06,C06,K01-D-006,K01-P-007,Overall length,SIZE_TOLERANCE,MBD_REQUIRED,MBD_AUTHORING_REQUIRED,False,OPEN
K01-D006-C07,C07,K01-D-006,K01-P-007,Thin can OD,SIZE,MBD_REQUIRED,OPEN_TOLERANCE_POLICY,False,OPEN
K01-D006-C08,C08,K01-D-006,K01-P-007,Thin can ID,SIZE,MBD_REQUIRED,OPEN_TOLERANCE_POLICY,False,OPEN
K01-D006-C09,C09,K01-D-006,K01-P-007,Material,MATERIAL,CONTROLLED_NON_DIMENSIONAL,CONTROLLED_PRODUCT_DATA,True,material_certificate_and_registry_reconciliation
K01-D006-C10,C10,K01-D-006,K01-P-007,Containment weld interface/process,PROCESS,CONTROLLED_NON_DIMENSIONAL,OPEN_SPEC,False,OPEN
K01-D006-C11,C11,K01-D-006,K01-P-007,Critical concentricity/coaxiality control,GD&T,MBD_REQUIRED,OPEN_SPEC,False,OPEN
K01-D006-C12,C12,K01-D-006,K01-P-007,Leak/containment acceptance reference,INSPECTION_REQUIREMENT,CONTROLLED_NON_DIMENSIONAL,OPEN_REQUIREMENT,False,OPEN
