EDR_ID,Title,Subsystem,Class,Status,Baseline/Decision,Rationale,NextEvidence
EDR-001,J2 service architecture: removable vs permanent weld,J2,A,DECIDED / RELEASE-INTENT,Permanent weld rejected; removable static-sealed joint retained,Serviceability is a system requirement; destructive weld conflicts with P006/follower maintenance,Backfill full EDR; seal/material/compactness remain downstream
EDR-002,J2 pilot diameter and fit Ø14.10 H7/g6,J2,B,VERIFIED CANDIDATE,"Ø14.10 H7/g6, male L1.50 / female depth1.70",Uses existing P007 ID14.1 root; avoids impossible Ø16 female counterbore; nominal bottom clearance0.20,Promote only after compact flange freeze
EDR-003,J2 clamp count / pattern,J2,B,REOPENED,Current verified 3×M3 / PCD28,Three-point symmetric clamp reduced holes vs 4×M3; pressure reaction is very small,Thread size/PCD reopened by compact study
EDR-004,J2 seal size and gland,J2,B,PARTIAL,16×1.5; gland ID16.00 × width2.10 × depth1.10,Fits verified envelope; elastomer chemistry is not released,Close compound/process-gas compatibility + leak validation
EDR-005,J2 flange geometry,J2,B,REOPENED,OD36 full circular reference,Functionally verified but packaging optimality not proven,Trade C0/C1/C2/C3 and freeze compact production baseline
EDR-006,P007 thin magnetic-can wall,P007,B,PARTIAL,OD10 / ID9.4 / wall0.30,Previous static/buckling screens PASS; magnetic gap preserved,Refresh after final flange; add manufacturability/ovality/thermal/FMEA review
EDR-007,P008 follower OD and radial clearance,P008/P007,B,PARTIAL,P008 OD8.8; radial clearance0.30,Geometric clearance passes project screen,"Add thermal stack, runout/misalignment, debris and magnetic-force sensitivity"
EDR-008,J1 P016↔P003 datum architecture,J1,A,PARTIAL,A face + Ø10 H7/g6 pilot + C clocking; 3×M4 PCD24,Pilot controls axis; shoulder controls axial; C controls rotation without radial overconstraint,Close Datum C native implementation and Long Run manufacturing route
EDR-009,Datum C relieved/diamond locator,J1,B,VERIFIED CONCEPT / CAD OPEN,Relieved/diamond P017 rather than second exact round locator,Avoids radial overconstraint already controlled by pilot B,"Close press fit, material, manufacturing, installation and inspection"
EDR-010,P006 M12×1 retaining plug,P006,B,PARTIAL,M12×1 ×6 retained,Packaging compatible with service region,Service-tool feature and repeated-service/galling review OPEN
EDR-011,P014 retaining-ring concept,P014,B,OPEN,1.4310/AISI301 candidate,Spring retention concept not production frozen,Material/temper/fatigue/temperature/process capability required
EDR-012,P015 dual-coil bobbin architecture,P015,A,OPEN,Current v1 geometry,No bobbin increase for current FEMM screen,"Freeze PPS grade, winding, resistance, leads, thermal rise and insulation"
EDR-013,B001 internal SmCo magnet,Magnetic,B,OPEN,Sm2Co17/S280 candidate,Temperature-capable family selected for screening,"Supplier lot Br(T), tolerance, coating, demag margin and procurement evidence"
EDR-014,B001 retention in P008/P013,Magnetic,B,OPEN,Mechanical/adhesive retention concept,Laser weld rejected for this path; magnet must not be preloaded,"Adhesive/process qualification, thermal cycling, pull-out, cleanliness"
EDR-015,Rod / guide-bushing material and clearance system,Guidance,B,PARTIAL,Rod316L; polymer bushings baseline,Low-friction guidance and anti-rotation architecture,"Freeze polymer, creep/wear/thermal clearance and production tolerance stack"
EDR-016,Hermetic magnetic actuation principle,System,A,BASELINE / FORMAL EDR NEEDED,Closed metallic can + internal follower + external drive,Avoids moving shaft penetration and preserves isolation,Backfill system-level alternatives/failure modes/thermal/magnetic/service/cost
EDR-017,Fastener material / anti-galling strategy,J1/J2,B,OPEN,A4 stainless candidate,Corrosion/cleanliness compatible but stainless-on-316L galling risk exists,"Freeze grade, finish/lubrication, torque/preload and service-cycle strategy"
EDR-018,SW2018 development → SW2026 migration,Configuration,A,PLANNED,SW2018 rev26.0.1 until design freeze; SW2026 afterwards,Avoid mixed-version native CAD during unstable design,"Define migration clone, validation, rollback and no-overwrite rule"
