PartNo,Description,Qty,Type,MakeBuy,Material,MaterialStatus,Revision,ReleaseState,Supplier,SupplierPN,Unit,Source
K01-B-001,Internal SmCo Magnet,1,PURCHASED,BUY,Sm2Co17 / S280 candidate; lot Br(T)/tolerance OPEN,OPEN LOT DATA,OPEN,HOLD,OPEN,OPEN,ea,MODELED
K01-P-001,Calibration Rod,1,MANUFACTURED,MAKE,AISI 316L / EN 1.4404,CONTROLLED,OPEN,PASS,OPEN,OPEN,ea,MODELED
K01-P-002,Rear Guide / Anti-Rotation Bushing,1,MANUFACTURED,MAKE,TECAPEEK PVX black baseline,BASELINE / PRODUCTION GRADE REVIEW,OPEN,HOLD,OPEN,OPEN,ea,MODELED
K01-P-003,Cartridge Body,1,MANUFACTURED,MAKE,AISI 316L / EN 1.4404,CONTROLLED,OPEN,PASS,OPEN,OPEN,ea,MODELED
K01-P-004,Front Guide Bushing,1,MANUFACTURED,MAKE,TECAPEEK PVX black baseline,BASELINE / PRODUCTION GRADE REVIEW,OPEN,HOLD,OPEN,OPEN,ea,MODELED
K01-P-006,Retaining Plug,1,MANUFACTURED,MAKE,AISI 316L / EN 1.4404,CONTROLLED,OPEN,PASS,OPEN,OPEN,ea,MODELED
K01-P-007,Hermetic Magnetic Can,1,MANUFACTURED,MAKE,AISI 316L / EN 1.4404,CONTROLLED,OPEN,PASS,OPEN,OPEN,ea,MODELED
K01-P-008,Internal Magnetic Follower,1,MANUFACTURED,MAKE,AISI 316L / EN 1.4404,CONTROLLED,OPEN,PASS,OPEN,OPEN,ea,MODELED
K01-P-009,Rear Stop Washer,1,MANUFACTURED,MAKE,AISI 316L / EN 1.4404,CONTROLLED,OPEN,PASS,OPEN,OPEN,ea,MODELED
K01-P-013,Follower End Cap,1,MANUFACTURED,MAKE,AISI 316L / EN 1.4404,CONTROLLED / RETENTION QUALIFICATION OPEN,OPEN,HOLD,OPEN,OPEN,ea,MODELED
K01-P-014,Front Guide Retaining Ring / IN Stop,1,MANUFACTURED,MAKE,OPEN; 1.4310 / AISI 301 candidate,OPEN,OPEN,HOLD,OPEN,OPEN,ea,MODELED
K01-P-015,Dual Coil Bobbin,1,MANUFACTURED,MAKE,Prototype/current CAD material not production release; PPS grade/winding/leads OPEN,OPEN,OPEN,HOLD,OPEN,OPEN,ea,MODELED
K01-P-016,Long Run Interface Boss,1,MANUFACTURED,MAKE,AISI 316L current CAD; production Long Run compatibility/weld route OPEN,CONDITIONAL / OPEN,OPEN,HOLD,OPEN,OPEN,ea,MODELED
NM-J2-SEAL,J2 static face seal / O-ring,1,PURCHASED_NON_MODELED,BUY,OPEN,OPEN_SPEC,OPEN,HOLD,OPEN,OPEN,ea,NON_MODELED
NM-J2-CLAMP-SCREW,J2 clamp screw M2.5,3,PURCHASED_NON_MODELED,BUY,OPEN,OPEN_SPEC,OPEN,HOLD,OPEN,OPEN,ea,NON_MODELED
NM-P007-WELD-PROCESS,P007 containment weld process / filler definition,,PROCESS_AUXILIARY,PROCESS,OPEN,OPEN_PROCESS,OPEN,HOLD,OPEN,OPEN,process,NON_MODELED
NM-J2-FASTENER-PROCESS,J2 fastener lubrication / locking process,,PROCESS_AUXILIARY,PROCESS,OPEN,OPEN_PROCESS,OPEN,HOLD,OPEN,OPEN,process,NON_MODELED
