part_no,description,qty,unit,make_buy,material_authority,material_status,cad_native_material,cad_partno,cad_identity_source,metadata_sync,release,path
K01-P-001,Calibration Rod,1,ea,MAKE,AISI 316L / EN 1.4404,CONTROLLED,AISI Type 316L stainless steel,K01-P-001_Calibration_Rod,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,PASS,D:\Marvilon\K01\cad\parts\K01-P-001_Calibration_Rod.SLDPRT
K01-P-009,Rear Stop Washer,1,ea,MAKE,AISI 316L / EN 1.4404,CONTROLLED,AISI Type 316L stainless steel,K01-P-009_Rear_Stop_Washer,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,PASS,D:\Marvilon\K01\cad\parts\K01-P-009_Rear_Stop_Washer.SLDPRT
K01-P-002,Rear Guide / Anti-Rotation Bushing,1,ea,MAKE,TECAPEEK PVX black baseline,BASELINE / PRODUCTION GRADE REVIEW,TECAPEEK PVX black (Ensinger),K01-P-002_Guide_Bushing,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,HOLD,D:\Marvilon\K01\cad\parts\K01-P-002_Guide_Bushing.SLDPRT
K01-P-006,Retaining Plug,1,ea,MAKE,AISI 316L / EN 1.4404,CONTROLLED,AISI Type 316L stainless steel,K01-P-006_Retaining_Plug,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,PASS,D:\Marvilon\K01\cad\parts\K01-P-006_Retaining_Plug.SLDPRT
K01-P-014,Front Guide Retaining Ring / IN Stop,1,ea,MAKE,OPEN; 1.4310 / AISI 301 candidate,OPEN,,K01-P-014_Front_Guide_Retaining_Ring,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,HOLD,D:\Marvilon\K01\cad\parts\K01-P-014_Front_Guide_Retaining_Ring.SLDPRT
K01-P-004,Front Guide Bushing,1,ea,MAKE,TECAPEEK PVX black baseline,BASELINE / PRODUCTION GRADE REVIEW,TECAPEEK PVX black (Ensinger),K01-P-004_Front_Guide_Bushing,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,HOLD,D:\Marvilon\K01\cad\parts\K01-P-004_Front_Guide_Bushing.SLDPRT
K01-P-013,Follower End Cap,1,ea,MAKE,AISI 316L / EN 1.4404,CONTROLLED / RETENTION QUALIFICATION OPEN,AISI Type 316L stainless steel,K01-P-013_Follower_End_Cap,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,HOLD,D:\Marvilon\K01\cad\parts\K01-P-013_Follower_End_Cap.SLDPRT
K01-P-003,Cartridge Body,1,ea,MAKE,AISI 316L / EN 1.4404,CONTROLLED,AISI Type 316L stainless steel,K01-P-003_Cartridge_Body_GATE04D_C2_CANDIDATE,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,PASS,D:\Marvilon\K01\cad\candidates\gate04d_c2\K01-P-003_Cartridge_Body_GATE04D_C2_CANDIDATE.SLDPRT
K01-P-007,Hermetic Magnetic Can,1,ea,MAKE,AISI 316L / EN 1.4404,CONTROLLED,AISI Type 316L stainless steel,K01-P-007_Hermetic_Magnetic_Can_GATE04D_C2_CANDIDATE,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,PASS,D:\Marvilon\K01\cad\candidates\gate04d_c2\K01-P-007_Hermetic_Magnetic_Can_GATE04D_C2_CANDIDATE.SLDPRT
K01-P-015,Dual Coil Bobbin,1,ea,MAKE,Prototype/current CAD material not production release; PPS grade/winding/leads OPEN,OPEN,PPS,K01-P-015_Dual_Coil_Bobbin,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,HOLD,D:\Marvilon\K01\cad\parts\K01-P-015_Dual_Coil_Bobbin.SLDPRT
K01-B-001,Internal SmCo Magnet,1,ea,BUY,Sm2Co17 / S280 candidate; lot Br(T)/tolerance OPEN,OPEN LOT DATA,Sm2Co17 S280 — MTS SM-SA-8x8,Open CASCADE STEP translator 7.9 1,CUSTOM_PROPERTY,PROJECTION_REQUIRED,HOLD,D:\Marvilon\K01\cad\parts\K01-B-001_Internal_SmCo_Magnet_D8x8_REFERENCE.SLDPRT
K01-P-008,Internal Magnetic Follower,1,ea,MAKE,AISI 316L / EN 1.4404,CONTROLLED,1.4404 (X2CrNiMo17-12-2),K01-P-008_Internal_Magnetic_Follower,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,PASS,D:\Marvilon\K01\cad\parts\K01-P-008_Internal_Magnetic_Follower.SLDPRT
K01-P-016,Long Run Interface Boss,1,ea,MAKE,AISI 316L current CAD; production Long Run compatibility/weld route OPEN,CONDITIONAL / OPEN,AISI Type 316L stainless steel,K01-P-016_Long_Run_Interface_Boss,FILENAME_FALLBACK_NONAUTHORITATIVE,PROJECTION_REQUIRED,HOLD,D:\Marvilon\K01\cad\parts\K01-P-016_Long_Run_Interface_Boss.SLDPRT
