balloon_id,role,candidate_spec,current_state,mbd_binding,inspection_method,inspection_result,inspection_status
C01,J2 face / datum A flatness,FLATNESS 0.03,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C02,Locator / datum B,Ø14.10 H7 × 1.70,LIVE_CAD_CONFLICT_REVIEW,,OPEN,,NOT_INSPECTED
C03,Locator axis perpendicularity to A,PERP Ø0.03 TO A,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C04,J2 clamp clearance pattern,3×Ø2.90 THRU; PCD26.50 BASIC; 120° BASIC; POS Ø0.15 |A|B,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C05,Flange size,Ø33.00 ±0.05 × 3.00 ±0.05,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C06,Overall length,35.00 ±0.05,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C07,Thin can OD,Ø10.00; release tolerance/general-tolerance coverage OPEN,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C08,Thin can ID,Ø9.40; release tolerance/general-tolerance coverage OPEN,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C09,Material,AISI 316L / EN 1.4404,CONTROLLED_PRODUCT_DATA,,OPEN,,NOT_INSPECTED
C10,Containment weld interface/process,,OPEN_SPEC,,OPEN,,NOT_INSPECTED
C11,Critical concentricity/coaxiality control,,MBD_AUTHORING_REQUIRED,,OPEN,,NOT_INSPECTED
C12,Leak/containment acceptance reference,,OPEN_REQUIREMENT,,OPEN,,NOT_INSPECTED
