PartNo,Description,Observed_or_Controlled_Material,ControlStatus,NextAction
K01-P-007,Hermetic Magnetic Can,AISI 316L / EN 1.4404,RELEASED,retain
K01-P-003,Cartridge Body,AISI 316L / EN 1.4404,RELEASED,retain
K01-P-006,Retaining Plug,AISI 316L / EN 1.4404,RELEASED_BY_REQUIREMENT,synchronize BOM metadata
K01-P-001,Calibration Rod,AISI 316L observed in CAD,CONTROL_OPEN,explicit material release
K01-P-004,Front Guide Bushing,TECAPEEK PVX black observed in CAD,CONTROL_OPEN,explicit material release
K01-P-008,Internal Magnetic Follower,1.4404 observed in CAD,CONTROL_OPEN,explicit material release
K01-P-013,Follower End Cap,316L observed in CAD,CONTROL_OPEN,explicit material release
K01-P-009,Rear Stop Washer,316L observed in CAD,CONTROL_OPEN,explicit material release
K01-P-016,Long Run Interface Boss,316L observed in CAD,CONTROL_OPEN,explicit material release
K01-P-002,Guide Bushing,TECAPEEK PVX black observed in CAD,CONTROL_OPEN,explicit material release
K01-B-001,Internal SmCo Magnet,Sm2Co17 S280 observed/reference,MAGNETIC_DATA_OPEN,supplier/lot data + final release
K01-P-014,Front Guide Retaining Ring,OPEN,OPEN,material/process/fatigue release
K01-P-015,Dual Coil Bobbin,PPS observed in CAD,GRADE/WINDING_OPEN,production grade + winding/electrical freeze
